========================================================================================
                         GRID SEARCH RESULTS (SALI & GALI)                              
========================================================================================

Loaded 200 labeled ICs (Chaotic: 33, Regular: 167) from data/initial_conditions/labeled_ics_benchmark_size_962.npz
--- BEST PARAMETER SETS ---
Best SALI: Threshold = 1.0e-03, Window = 25 | Balanced Acc = 0.8244
Best GALI: Threshold = 1.0e-18, Window = 50 | Balanced Acc = 0.9521

========================================================================================
Method   | Threshold    | Window   | Bal. Acc   | Accuracy   | F1-Score  
========================================================================================
--- SALI RUNS ---
SALI     | 1.0e-03      | 25       | 0.8244     | 0.9300     | 0.7586    
SALI     | 1.0e-03      | 20       | 0.8154     | 0.9150     | 0.7213    
SALI     | 1.0e-03      | 15       | 0.8124     | 0.9100     | 0.7097    
SALI     | 1.0e-03      | 10       | 0.7884     | 0.8700     | 0.6286    
SALI     | 1.0e-04      | 5        | 0.7727     | 0.9250     | 0.7059    
SALI     | 1.0e-04      | 10       | 0.7576     | 0.9200     | 0.6800    
SALI     | 1.0e-04      | 15       | 0.7576     | 0.9200     | 0.6800    
SALI     | 1.0e-04      | 20       | 0.7576     | 0.9200     | 0.6800    
SALI     | 1.0e-04      | 25       | 0.7424     | 0.9150     | 0.6531    
SALI     | 1.0e-05      | 5        | 0.7424     | 0.9150     | 0.6531    
SALI     | 1.0e-05      | 10       | 0.7424     | 0.9150     | 0.6531    
SALI     | 1.0e-05      | 15       | 0.7424     | 0.9150     | 0.6531    
SALI     | 1.0e-05      | 20       | 0.7424     | 0.9150     | 0.6531    
SALI     | 1.0e-05      | 25       | 0.7424     | 0.9150     | 0.6531    
SALI     | 1.0e-03      | 5        | 0.7046     | 0.7300     | 0.4490    
SALI     | 1.0e-02      | 25       | 0.5378     | 0.3500     | 0.2935    
SALI     | 1.0e-02      | 20       | 0.5289     | 0.3350     | 0.2888    
SALI     | 1.0e-01      | 5        | 0.5000     | 0.1650     | 0.2833    
SALI     | 1.0e-01      | 10       | 0.5000     | 0.1650     | 0.2833    
SALI     | 1.0e-01      | 15       | 0.5000     | 0.1650     | 0.2833    
SALI     | 1.0e-02      | 10       | 0.4873     | 0.2250     | 0.2723    
SALI     | 1.0e-02      | 15       | 0.4869     | 0.2650     | 0.2687    
SALI     | 1.0e-01      | 20       | 0.4848     | 0.1600     | 0.2759    
SALI     | 1.0e-01      | 25       | 0.4848     | 0.1600     | 0.2759    
SALI     | 1.0e-02      | 5        | 0.4755     | 0.1850     | 0.2691    
----------------------------------------------------------------------------------------
--- GALI RUNS ---
GALI     | 1.0e-18      | 50       | 0.9521     | 0.9200     | 0.8049    
GALI     | 1.0e-20      | 50       | 0.9456     | 0.9700     | 0.9091    
GALI     | 1.0e-18      | 250      | 0.9336     | 0.9500     | 0.8571    
GALI     | 1.0e-18      | 200      | 0.9306     | 0.9450     | 0.8451    
GALI     | 1.0e-18      | 100      | 0.9246     | 0.9350     | 0.8219    
GALI     | 1.0e-18      | 150      | 0.9246     | 0.9350     | 0.8219    
GALI     | 1.0e-22      | 50       | 0.9031     | 0.9600     | 0.8710    
GALI     | 1.0e-16      | 250      | 0.9012     | 0.8350     | 0.6667    
GALI     | 1.0e-20      | 100      | 0.9001     | 0.9550     | 0.8571    
GALI     | 1.0e-20      | 150      | 0.9001     | 0.9550     | 0.8571    
GALI     | 1.0e-20      | 200      | 0.9001     | 0.9550     | 0.8571    
GALI     | 1.0e-20      | 250      | 0.9001     | 0.9550     | 0.8571    
GALI     | 1.0e-16      | 200      | 0.8952     | 0.8250     | 0.6535    
GALI     | 1.0e-22      | 100      | 0.8909     | 0.9600     | 0.8667    
GALI     | 1.0e-22      | 150      | 0.8909     | 0.9600     | 0.8667    
GALI     | 1.0e-16      | 150      | 0.8892     | 0.8150     | 0.6408    
GALI     | 1.0e-16      | 100      | 0.8772     | 0.7950     | 0.6168    
GALI     | 1.0e-22      | 200      | 0.8758     | 0.9550     | 0.8475    
GALI     | 1.0e-22      | 250      | 0.8758     | 0.9550     | 0.8475    
GALI     | 1.0e-16      | 50       | 0.8144     | 0.6900     | 0.5156    
GALI     | 1.0e-14      | 250      | 0.7695     | 0.6150     | 0.4615    
GALI     | 1.0e-14      | 200      | 0.7635     | 0.6050     | 0.4552    
GALI     | 1.0e-14      | 150      | 0.7485     | 0.5800     | 0.4400    
GALI     | 1.0e-14      | 100      | 0.7186     | 0.5300     | 0.4125    
GALI     | 1.0e-14      | 50       | 0.5988     | 0.3300     | 0.3300    
========================================================================================
