========================================================================================
                         GRID SEARCH RESULTS (SALI & GALI)                              
========================================================================================

Loaded 150 labeled ICs (Chaotic: 25, Regular: 125) from data/initial_conditions/labeled_ics_benchmark_size_962.npz
--- BEST PARAMETER SETS ---
Best SALI: Threshold = 1.0e-03, Window = 25 | Balanced Acc = 0.8360
Best GALI: Threshold = 1.0e-20, Window = 50 | Balanced Acc = 0.9520

========================================================================================
Method   | Threshold    | Window   | Bal. Acc   | Accuracy   | F1-Score  
========================================================================================
--- SALI RUNS ---
SALI     | 1.0e-03      | 25       | 0.8360     | 0.9400     | 0.7907    
SALI     | 1.0e-03      | 15       | 0.8320     | 0.9333     | 0.7727    
SALI     | 1.0e-03      | 20       | 0.8320     | 0.9333     | 0.7727    
SALI     | 1.0e-03      | 10       | 0.8120     | 0.9000     | 0.6939    
SALI     | 1.0e-04      | 5        | 0.7600     | 0.9200     | 0.6842    
SALI     | 1.0e-04      | 10       | 0.7400     | 0.9133     | 0.6486    
SALI     | 1.0e-04      | 15       | 0.7400     | 0.9133     | 0.6486    
SALI     | 1.0e-04      | 20       | 0.7400     | 0.9133     | 0.6486    
SALI     | 1.0e-04      | 25       | 0.7400     | 0.9133     | 0.6486    
SALI     | 1.0e-05      | 5        | 0.7400     | 0.9133     | 0.6486    
SALI     | 1.0e-05      | 10       | 0.7400     | 0.9133     | 0.6486    
SALI     | 1.0e-05      | 15       | 0.7400     | 0.9133     | 0.6486    
SALI     | 1.0e-05      | 20       | 0.7400     | 0.9133     | 0.6486    
SALI     | 1.0e-05      | 25       | 0.7400     | 0.9133     | 0.6486    
SALI     | 1.0e-03      | 5        | 0.7200     | 0.7467     | 0.4722    
SALI     | 1.0e-02      | 25       | 0.5520     | 0.3600     | 0.3043    
SALI     | 1.0e-02      | 20       | 0.5440     | 0.3467     | 0.3000    
SALI     | 1.0e-01      | 5        | 0.5000     | 0.1667     | 0.2857    
SALI     | 1.0e-01      | 10       | 0.5000     | 0.1667     | 0.2857    
SALI     | 1.0e-01      | 15       | 0.5000     | 0.1667     | 0.2857    
SALI     | 1.0e-02      | 15       | 0.4960     | 0.2667     | 0.2763    
SALI     | 1.0e-01      | 20       | 0.4800     | 0.1600     | 0.2759    
SALI     | 1.0e-01      | 25       | 0.4800     | 0.1600     | 0.2759    
SALI     | 1.0e-02      | 10       | 0.4640     | 0.2133     | 0.2625    
SALI     | 1.0e-02      | 5        | 0.4560     | 0.1733     | 0.2619    
----------------------------------------------------------------------------------------
--- GALI RUNS ---
GALI     | 1.0e-20      | 50       | 0.9520     | 0.9733     | 0.9200    
GALI     | 1.0e-18      | 50       | 0.9440     | 0.9067     | 0.7813    
GALI     | 1.0e-18      | 250      | 0.9360     | 0.9467     | 0.8519    
GALI     | 1.0e-18      | 200      | 0.9320     | 0.9400     | 0.8364    
GALI     | 1.0e-18      | 100      | 0.9240     | 0.9267     | 0.8070    
GALI     | 1.0e-18      | 150      | 0.9240     | 0.9267     | 0.8070    
GALI     | 1.0e-22      | 50       | 0.9120     | 0.9600     | 0.8750    
GALI     | 1.0e-22      | 100      | 0.8960     | 0.9600     | 0.8696    
GALI     | 1.0e-22      | 150      | 0.8960     | 0.9600     | 0.8696    
GALI     | 1.0e-20      | 100      | 0.8920     | 0.9533     | 0.8511    
GALI     | 1.0e-20      | 150      | 0.8920     | 0.9533     | 0.8511    
GALI     | 1.0e-20      | 200      | 0.8920     | 0.9533     | 0.8511    
GALI     | 1.0e-20      | 250      | 0.8920     | 0.9533     | 0.8511    
GALI     | 1.0e-16      | 250      | 0.8840     | 0.8067     | 0.6329    
GALI     | 1.0e-16      | 200      | 0.8760     | 0.7933     | 0.6173    
GALI     | 1.0e-22      | 200      | 0.8760     | 0.9533     | 0.8444    
GALI     | 1.0e-22      | 250      | 0.8760     | 0.9533     | 0.8444    
GALI     | 1.0e-16      | 150      | 0.8680     | 0.7800     | 0.6024    
GALI     | 1.0e-16      | 100      | 0.8560     | 0.7600     | 0.5814    
GALI     | 1.0e-16      | 50       | 0.8160     | 0.6933     | 0.5208    
GALI     | 1.0e-14      | 250      | 0.7720     | 0.6200     | 0.4673    
GALI     | 1.0e-14      | 200      | 0.7640     | 0.6067     | 0.4587    
GALI     | 1.0e-14      | 150      | 0.7520     | 0.5867     | 0.4464    
GALI     | 1.0e-14      | 100      | 0.7240     | 0.5400     | 0.4202    
GALI     | 1.0e-14      | 50       | 0.6120     | 0.3533     | 0.3401    
========================================================================================
