========================================================================================
                         GRID SEARCH RESULTS (SALI & GALI)                              
========================================================================================

Loaded 481 labeled ICs (Chaotic: 98, Regular: 383) from data/initial_conditions/labeled_ics_benchmark_size_962.npz
--- BEST PARAMETER SETS ---
Best SALI: Threshold = 1.0e-03, Window = 25 | Balanced Acc = 0.8709
Best GALI: Threshold = 1.0e-20, Window = 50 | Balanced Acc = 0.9667

========================================================================================
Method   | Threshold    | Window   | Bal. Acc   | Accuracy   | F1-Score  
========================================================================================
--- SALI RUNS ---
SALI     | 1.0e-03      | 25       | 0.8709     | 0.9335     | 0.8242    
SALI     | 1.0e-03      | 20       | 0.8708     | 0.9272     | 0.8128    
SALI     | 1.0e-03      | 15       | 0.8682     | 0.9231     | 0.8042    
SALI     | 1.0e-03      | 10       | 0.8446     | 0.8794     | 0.7264    
SALI     | 1.0e-04      | 5        | 0.8201     | 0.9252     | 0.7778    
SALI     | 1.0e-04      | 10       | 0.8061     | 0.9210     | 0.7595    
SALI     | 1.0e-04      | 15       | 0.8061     | 0.9210     | 0.7595    
SALI     | 1.0e-04      | 20       | 0.8061     | 0.9210     | 0.7595    
SALI     | 1.0e-04      | 25       | 0.8010     | 0.9189     | 0.7516    
SALI     | 1.0e-05      | 5        | 0.7755     | 0.9085     | 0.7105    
SALI     | 1.0e-05      | 10       | 0.7755     | 0.9085     | 0.7105    
SALI     | 1.0e-05      | 15       | 0.7755     | 0.9085     | 0.7105    
SALI     | 1.0e-05      | 20       | 0.7704     | 0.9064     | 0.7020    
SALI     | 1.0e-05      | 25       | 0.7704     | 0.9064     | 0.7020    
SALI     | 1.0e-03      | 5        | 0.7506     | 0.7297     | 0.5423    
SALI     | 1.0e-02      | 25       | 0.6016     | 0.4200     | 0.3895    
SALI     | 1.0e-02      | 20       | 0.5820     | 0.3888     | 0.3771    
SALI     | 1.0e-02      | 15       | 0.5481     | 0.3347     | 0.3574    
SALI     | 1.0e-02      | 10       | 0.5294     | 0.2869     | 0.3491    
SALI     | 1.0e-02      | 5        | 0.5044     | 0.2349     | 0.3381    
SALI     | 1.0e-01      | 5        | 0.5000     | 0.2037     | 0.3385    
SALI     | 1.0e-01      | 10       | 0.5000     | 0.2037     | 0.3385    
SALI     | 1.0e-01      | 15       | 0.5000     | 0.2037     | 0.3385    
SALI     | 1.0e-01      | 20       | 0.4949     | 0.2017     | 0.3356    
SALI     | 1.0e-01      | 25       | 0.4949     | 0.2017     | 0.3356    
----------------------------------------------------------------------------------------
--- GALI RUNS ---
GALI     | 1.0e-20      | 50       | 0.9667     | 0.9771     | 0.9442    
GALI     | 1.0e-18      | 50       | 0.9543     | 0.9272     | 0.8485    
GALI     | 1.0e-20      | 100      | 0.9462     | 0.9688     | 0.9223    
GALI     | 1.0e-22      | 50       | 0.9451     | 0.9730     | 0.9312    
GALI     | 1.0e-18      | 250      | 0.9446     | 0.9480     | 0.8804    
GALI     | 1.0e-18      | 150      | 0.9432     | 0.9397     | 0.8651    
GALI     | 1.0e-18      | 100      | 0.9419     | 0.9376     | 0.8611    
GALI     | 1.0e-20      | 150      | 0.9411     | 0.9667     | 0.9167    
GALI     | 1.0e-18      | 200      | 0.9407     | 0.9418     | 0.8679    
GALI     | 1.0e-22      | 100      | 0.9362     | 0.9709     | 0.9247    
GALI     | 1.0e-20      | 200      | 0.9360     | 0.9647     | 0.9110    
GALI     | 1.0e-20      | 250      | 0.9360     | 0.9647     | 0.9110    
GALI     | 1.0e-22      | 150      | 0.9260     | 0.9667     | 0.9130    
GALI     | 1.0e-22      | 200      | 0.9158     | 0.9626     | 0.9011    
GALI     | 1.0e-22      | 250      | 0.9158     | 0.9626     | 0.9011    
GALI     | 1.0e-16      | 250      | 0.8957     | 0.8399     | 0.7159    
GALI     | 1.0e-16      | 200      | 0.8918     | 0.8337     | 0.7080    
GALI     | 1.0e-16      | 150      | 0.8865     | 0.8254     | 0.6978    
GALI     | 1.0e-16      | 100      | 0.8825     | 0.8129     | 0.6853    
GALI     | 1.0e-16      | 50       | 0.8211     | 0.7152     | 0.5886    
GALI     | 1.0e-14      | 250      | 0.7781     | 0.6466     | 0.5355    
GALI     | 1.0e-14      | 200      | 0.7702     | 0.6341     | 0.5269    
GALI     | 1.0e-14      | 150      | 0.7598     | 0.6175     | 0.5158    
GALI     | 1.0e-14      | 100      | 0.7063     | 0.5322     | 0.4656    
GALI     | 1.0e-14      | 50       | 0.5966     | 0.3576     | 0.3881    
========================================================================================
