========================================================================================
                         GRID SEARCH RESULTS (SALI & GALI)                              
========================================================================================

Loaded 151 labeled ICs (Chaotic: 80, Regular: 71) from data/initial_conditions/labeled_ics_benchmark_size_370.npz
--- BEST PARAMETER SETS ---
Best SALI: Threshold = 1.0e-03, Window = 25 | Balanced Acc = 0.8812
Best GALI: Threshold = 1.0e-18, Window = 50 | Balanced Acc = 0.9930

========================================================================================
Method   | Threshold    | Window   | Bal. Acc   | Accuracy   | F1-Score  
========================================================================================
--- SALI RUNS ---
SALI     | 1.0e-03      | 25       | 0.8812     | 0.8742     | 0.8652    
SALI     | 1.0e-03      | 20       | 0.8742     | 0.8675     | 0.8592    
SALI     | 1.0e-03      | 15       | 0.8672     | 0.8609     | 0.8531    
SALI     | 1.0e-03      | 10       | 0.8312     | 0.8278     | 0.8267    
SALI     | 1.0e-04      | 5        | 0.8125     | 0.8013     | 0.7692    
SALI     | 1.0e-04      | 10       | 0.8000     | 0.7881     | 0.7500    
SALI     | 1.0e-04      | 15       | 0.8000     | 0.7881     | 0.7500    
SALI     | 1.0e-04      | 20       | 0.8000     | 0.7881     | 0.7500    
SALI     | 1.0e-04      | 25       | 0.8000     | 0.7881     | 0.7500    
SALI     | 1.0e-05      | 5        | 0.7750     | 0.7616     | 0.7097    
SALI     | 1.0e-05      | 10       | 0.7750     | 0.7616     | 0.7097    
SALI     | 1.0e-05      | 15       | 0.7750     | 0.7616     | 0.7097    
SALI     | 1.0e-05      | 20       | 0.7688     | 0.7550     | 0.6992    
SALI     | 1.0e-05      | 25       | 0.7688     | 0.7550     | 0.6992    
SALI     | 1.0e-03      | 5        | 0.7467     | 0.7483     | 0.7654    
SALI     | 1.0e-02      | 25       | 0.5768     | 0.5960     | 0.7024    
SALI     | 1.0e-02      | 20       | 0.5627     | 0.5828     | 0.6957    
SALI     | 1.0e-02      | 15       | 0.5415     | 0.5629     | 0.6857    
SALI     | 1.0e-02      | 10       | 0.5188     | 0.5430     | 0.6820    
SALI     | 1.0e-02      | 5        | 0.5102     | 0.5364     | 0.6847    
SALI     | 1.0e-01      | 5        | 0.5000     | 0.5298     | 0.6926    
SALI     | 1.0e-01      | 10       | 0.5000     | 0.5298     | 0.6926    
SALI     | 1.0e-01      | 15       | 0.5000     | 0.5298     | 0.6926    
SALI     | 1.0e-01      | 20       | 0.5000     | 0.5298     | 0.6926    
SALI     | 1.0e-01      | 25       | 0.5000     | 0.5298     | 0.6926    
----------------------------------------------------------------------------------------
--- GALI RUNS ---
GALI     | 1.0e-18      | 50       | 0.9930     | 0.9934     | 0.9938    
GALI     | 1.0e-20      | 50       | 0.9875     | 0.9868     | 0.9873    
GALI     | 1.0e-18      | 100      | 0.9812     | 0.9801     | 0.9809    
GALI     | 1.0e-18      | 150      | 0.9812     | 0.9801     | 0.9809    
GALI     | 1.0e-18      | 200      | 0.9750     | 0.9735     | 0.9744    
GALI     | 1.0e-18      | 250      | 0.9750     | 0.9735     | 0.9744    
GALI     | 1.0e-20      | 100      | 0.9563     | 0.9536     | 0.9542    
GALI     | 1.0e-22      | 50       | 0.9563     | 0.9536     | 0.9542    
GALI     | 1.0e-20      | 150      | 0.9437     | 0.9404     | 0.9404    
GALI     | 1.0e-20      | 200      | 0.9313     | 0.9272     | 0.9262    
GALI     | 1.0e-20      | 250      | 0.9313     | 0.9272     | 0.9262    
GALI     | 1.0e-22      | 100      | 0.9187     | 0.9139     | 0.9116    
GALI     | 1.0e-22      | 150      | 0.9125     | 0.9073     | 0.9041    
GALI     | 1.0e-22      | 200      | 0.9125     | 0.9073     | 0.9041    
GALI     | 1.0e-22      | 250      | 0.9125     | 0.9073     | 0.9041    
GALI     | 1.0e-16      | 200      | 0.9092     | 0.9139     | 0.9240    
GALI     | 1.0e-16      | 250      | 0.9092     | 0.9139     | 0.9240    
GALI     | 1.0e-16      | 150      | 0.9085     | 0.9139     | 0.9249    
GALI     | 1.0e-16      | 100      | 0.8944     | 0.9007     | 0.9143    
GALI     | 1.0e-16      | 50       | 0.8451     | 0.8543     | 0.8791    
GALI     | 1.0e-14      | 250      | 0.7887     | 0.8013     | 0.8421    
GALI     | 1.0e-14      | 150      | 0.7817     | 0.7947     | 0.8377    
GALI     | 1.0e-14      | 200      | 0.7817     | 0.7947     | 0.8377    
GALI     | 1.0e-14      | 100      | 0.7113     | 0.7285     | 0.7960    
GALI     | 1.0e-14      | 50       | 0.5775     | 0.6026     | 0.7273    
========================================================================================
